Island,Dive_ID,Local_Date,Dive_Number,Segment,Segment_ID,StartTime,EndTime,BenthicTemperatureMean,BenthicTemperatureStdDev,BenthicDepthMean,BenthicDepthStdDev,ComputedLength,CentroidLat,CentroidLon,Mean_Total_Live_Coral,Mean_Pale,Mean_Bleached,Mean_Pale_Bleached_Sum,Data_Source
HAW,201511133,11/13/2015,3,6,20151113306,11/13/2015 12:08:00,11/13/2015 12:13:00,27.81563279,0.003951996,-8.481245902,0.539410263,190.68,19.75317539,-156.051119,5,30,30,60,1
HAW,201511133,11/13/2015,3,5,20151113305,11/13/2015 12:03:00,11/13/2015 12:08:00,27.81722131,0.007998363,-8.600508197,0.730243652,188.36,19.7546991,-156.0509614,3.5,37.5,27.5,65,1
HAW,201511133,11/13/2015,3,4,20151113304,11/13/2015 11:58:00,11/13/2015 12:03:00,27.81093607,0.009196383,-9.416967213,1.078217883,196.21,19.7562005,-156.0514621,22.5,40,25,65,1
HAW,201511133,11/13/2015,3,3,20151113303,11/13/2015 11:53:00,11/13/2015 11:58:00,27.82208197,0.00726134,-8.599163934,1.262327231,310.57,19.75709331,-156.0514317,27.5,25,32.5,57.5,1
HAW,201511133,11/13/2015,3,2,20151113302,11/13/2015 11:48:00,11/13/2015 11:53:00,27.82488197,0.007416055,-7.556262295,0.906846471,207.96,19.75763092,-156.0506459,20,25,27.5,52.5,1
HAW,201511133,11/13/2015,3,1,20151113301,11/13/2015 11:43:00,11/13/2015 11:48:00,27.8119541,0.008050997,-9.891377049,1.553238237,214.66,19.75933499,-156.0505692,15,30,25,55,1
HAW,201511132,11/13/2015,2,10,20151113210,11/13/2015 11:02:00,11/13/2015 11:06:00,27.80894333,0.008171441,-5.176516667,1.08884565,209.28,19.76108796,-156.0518393,25,12.5,17.5,30,1
HAW,201511132,11/13/2015,2,9,20151113209,11/13/2015 10:57:00,11/13/2015 11:02:00,27.80030492,0.018154848,-7.024131148,1.204476221,198.07,19.76282718,-156.0515311,32.5,12.5,32.5,45,1
HAW,201511132,11/13/2015,2,8,20151113208,11/13/2015 10:52:00,11/13/2015 10:57:00,27.77648689,0.012625481,-8.334655738,0.689964145,198.3,19.76419593,-156.0505948,3,12.5,35,47.5,1
HAW,201511132,11/13/2015,2,7,20151113207,11/13/2015 10:47:00,11/13/2015 10:52:00,27.78232623,0.013192943,-8.521459016,0.95142181,200.93,19.76589198,-156.0504038,2.6,20,40,60,1
HAW,201511132,11/13/2015,2,6,20151113206,11/13/2015 10:42:00,11/13/2015 10:47:00,27.78155738,0.024958099,-7.411229508,1.296420449,210.74,19.76753093,-156.0510049,10,17.5,20,37.5,1
HAW,201511132,11/13/2015,2,5,20151113205,11/13/2015 10:37:00,11/13/2015 10:42:00,27.75483279,0.030100431,-6.460032787,1.72948134,212.43,19.76920987,-156.0503223,15,20,20,40,1
HAW,201511132,11/13/2015,2,4,20151113204,11/13/2015 10:32:00,11/13/2015 10:37:00,27.78070492,0.024382569,-7.056393443,1.349736966,215.77,19.7710398,-156.050866,30,20,25,45,1
HAW,201511132,11/13/2015,2,3,20151113203,11/13/2015 10:27:00,11/13/2015 10:32:00,27.79453279,0.016844639,-5.855262295,1.209959543,197.46,19.77261853,-156.0515739,50,22.5,25,47.5,1
HAW,201511132,11/13/2015,2,2,20151113202,11/13/2015 10:22:00,11/13/2015 10:27:00,27.81087541,0.005746065,-5.828508197,1.470386485,204.93,19.77427589,-156.0513718,50,22.5,20,42.5,1
HAW,201511132,11/13/2015,2,1,20151113201,11/13/2015 10:17:00,11/13/2015 10:22:00,27.67120656,0.037723154,-8.02704918,1.322376616,209.87,19.77499963,-156.0500763,55,25,20,45,1
HAW,201511131,11/13/2015,1,10,20151113110,11/13/2015 9:47:00,11/13/2015 9:52:00,27.73374333,0.021571775,-8.131083333,1.151585636,227.82,19.78204249,-156.0479701,12.5,10,32.5,42.5,1
HAW,201511131,11/13/2015,1,9,20151113109,11/13/2015 9:42:00,11/13/2015 9:47:00,27.71785082,0.008776825,-7.882311475,0.665705063,246.83,19.78407996,-156.0477127,37.5,7.5,37.5,45,1
HAW,201511131,11/13/2015,1,8,20151113108,11/13/2015 9:37:00,11/13/2015 9:42:00,27.7320377,0.02205329,-6.418590164,1.050207963,238.97,19.78525666,-156.046272,12.5,12.5,50,62.5,1
HAW,201511131,11/13/2015,1,7,20151113107,11/13/2015 9:32:00,11/13/2015 9:37:00,27.59577377,0.036262042,-6.035885246,1.246732767,274.13,19.78581303,-156.0439912,17.5,10,30,40,1
HAW,201511131,11/13/2015,1,6,20151113106,11/13/2015 9:27:00,11/13/2015 9:32:00,27.53011803,0.076073723,-5.162377049,1.128602664,275.24,19.78673573,-156.0420144,15,5,70,75,1
HAW,201511131,11/13/2015,1,5,20151113105,11/13/2015 9:22:00,11/13/2015 9:27:00,27.46490164,0.027264169,-4.39542623,1.035316463,254.87,19.7883874,-156.0408312,5,10,55,65,1
HAW,201511131,11/13/2015,1,4,20151113104,11/13/2015 9:17:00,11/13/2015 9:22:00,27.48398361,0.033075241,-5.04057377,0.904127756,264.69,19.78954994,-156.0389541,4,7.5,60,67.5,1
HAW,201511131,11/13/2015,1,3,20151113103,11/13/2015 9:12:00,11/13/2015 9:17:00,27.50840984,0.027135499,-6.126278689,0.901365706,282.04,19.79085447,-156.0368077,0.1,0,95,95,1
HAW,201511131,11/13/2015,1,2,20151113102,11/13/2015 9:07:00,11/13/2015 9:12:00,27.52444262,0.035808349,-4.151,0.938284378,239.65,19.79225709,-156.0348566,15,17.5,25,42.5,1
HAW,201511131,11/13/2015,1,1,20151113101,11/13/2015 9:05:00,11/13/2015 9:07:00,27.63068095,0.033355911,-4.430238095,1.190520451,74.92,19.79278746,-156.0335707,30,20,25,45,1
HAW,201511125,11/12/2015,5,5,20151112505,11/12/2015 15:16:00,11/12/2015 15:20:00,27.87868167,0.016514514,-6.4897,0.546156122,241.93,19.85029959,-155.9694246,47.5,12.5,20,32.5,1
HAW,201511125,11/12/2015,5,4,20151112504,11/12/2015 15:11:00,11/12/2015 15:16:00,27.85898689,0.006299036,-7.845704918,0.474866551,242.07,19.85113605,-155.9672981,52.5,20,30,50,1
HAW,201511125,11/12/2015,5,3,20151112503,11/12/2015 15:06:00,11/12/2015 15:11:00,27.86493443,0.004233236,-8.466491803,0.841776042,220.47,19.8522618,-155.9654226,30,12.5,30,42.5,1
HAW,201511124,11/12/2015,4,10,20151112410,11/12/2015 14:07:00,11/12/2015 14:12:00,27.79150667,0.007590539,-8.9085,0.706935417,187.59,19.85240845,-155.9355999,0,0,0,0,1
HAW,201511125,11/12/2015,5,2,20151112502,11/12/2015 15:01:00,11/12/2015 15:06:00,27.87877377,0.007952129,-7.691639344,0.480230308,217.14,19.85279399,-155.963485,57.5,15,25,40,1
HAW,201511125,11/12/2015,5,1,20151112501,11/12/2015 14:56:00,11/12/2015 15:01:00,27.86396721,0.010592059,-7.091819672,0.462593633,214.47,19.85318413,-155.9615629,57.5,15,17.5,32.5,1
HAW,201511124,11/12/2015,4,9,20151112409,11/12/2015 14:02:00,11/12/2015 14:07:00,27.79343607,0.008517812,-8.652131148,0.422629609,220.53,19.8539567,-155.9347956,17.5,22.5,22.5,45,1
HAW,201511124,11/12/2015,4,8,20151112408,11/12/2015 13:57:00,11/12/2015 14:02:00,27.78608689,0.015294588,-8.291196721,0.703341995,213.45,19.85575138,-155.9344936,20,17.5,10,27.5,1
HAW,201511124,11/12/2015,4,7,20151112407,11/12/2015 13:52:00,11/12/2015 13:57:00,27.78744262,0.018595491,-7.884540984,0.678657416,250.8,19.85733512,-155.9339986,20,10,15,25,1
HAW,201511124,11/12/2015,4,6,20151112406,11/12/2015 13:47:00,11/12/2015 13:52:00,27.80609672,0.010519038,-7.774196721,0.716352391,244.15,19.85869352,-155.9333024,17.5,10,12.5,22.5,1
HAW,201511124,11/12/2015,4,5,20151112405,11/12/2015 13:42:00,11/12/2015 13:47:00,27.84082131,0.015792726,-7.621278689,0.589633316,203.65,19.85976334,-155.9322541,20,15,15,30,1
HAW,201511124,11/12/2015,4,4,20151112404,11/12/2015 13:37:00,11/12/2015 13:42:00,27.84498033,0.007881995,-7.500229508,0.625595988,195.5,19.8607228,-155.9308886,25,17.5,20,37.5,1
HAW,201511124,11/12/2015,4,3,20151112403,11/12/2015 13:32:00,11/12/2015 13:37:00,27.83558197,0.008655928,-7.245721311,0.827288542,221.12,19.86131942,-155.9294926,25,12.5,17.5,30,1
HAW,201511124,11/12/2015,4,2,20151112402,11/12/2015 13:27:00,11/12/2015 13:32:00,27.83177049,0.008773887,-8.422704918,1.696592799,228.52,19.8620498,-155.9279845,27.5,15,12.5,27.5,1
HAW,201511124,11/12/2015,4,1,20151112401,11/12/2015 13:22:00,11/12/2015 13:27:00,27.8463082,0.013300182,-8.338508197,1.219271384,241.72,19.86269191,-155.9262087,15,17.5,17.5,35,1
HAW,201511123,11/12/2015,3,10,20151112310,11/12/2015 12:39:00,11/12/2015 12:44:00,27.73094833,0.004111751,-8.013266667,1.175472159,224.44,19.892585,-155.908256,15,25,20,45,1
HAW,201511123,11/12/2015,3,9,20151112309,11/12/2015 12:34:00,11/12/2015 12:39:00,27.76217377,0.016555975,-10.01454098,1.010410963,210.94,19.89411043,-155.9092941,15,15,27.5,42.5,1
HAW,201511123,11/12/2015,3,8,20151112308,11/12/2015 12:29:00,11/12/2015 12:34:00,27.7599541,0.020426257,-11.44483607,0.678323976,235.54,19.89560433,-155.9105071,10,15,25,40,1
HAW,201511123,11/12/2015,3,7,20151112307,11/12/2015 12:24:00,11/12/2015 12:29:00,27.6225459,0.046969622,-9.004967213,1.169377976,198.58,19.89749162,-155.9102088,20,17.5,27.5,45,1
HAW,201511123,11/12/2015,3,6,20151112306,11/12/2015 12:19:00,11/12/2015 12:24:00,27.64292131,0.009511755,-7.63657377,0.998697307,205.83,19.8987722,-155.9089317,35,17.5,25,42.5,1
HAW,201511123,11/12/2015,3,5,20151112305,11/12/2015 12:14:00,11/12/2015 12:19:00,27.66071311,0.010586699,-7.114,0.788340091,200.77,19.90009049,-155.9076631,37.5,15,25,40,1
HAW,201511123,11/12/2015,3,4,20151112304,11/12/2015 12:09:00,11/12/2015 12:14:00,27.69648033,0.005133331,-8.683639344,0.714231721,200.08,19.90164513,-155.9066979,32.5,17.5,27.5,45,1
HAW,201511123,11/12/2015,3,3,20151112303,11/12/2015 12:04:00,11/12/2015 12:09:00,27.67602459,0.021987833,-8.123704918,1.453986034,199.89,19.90302612,-155.9055015,27.5,15,25,40,1
HAW,201511123,11/12/2015,3,2,20151112302,11/12/2015 11:59:00,11/12/2015 12:04:00,27.63711475,0.016247692,-6.659934426,1.014330804,221.69,19.90437051,-155.9041022,37.5,15,27.5,42.5,1
HAW,201511123,11/12/2015,3,1,20151112301,11/12/2015 11:54:00,11/12/2015 11:59:00,27.62267377,0.01328175,-8.648442623,0.926006843,222.16,19.90580181,-155.9026697,25,17.5,15,32.5,1
HAW,201511122,11/12/2015,2,10,20151112210,11/12/2015 11:10:00,11/12/2015 11:14:00,27.535825,0.032038298,-10.0033,1.679155009,239.25,19.94242233,-155.8786541,15,22.5,22.5,45,1
HAW,201511122,11/12/2015,2,9,20151112209,11/12/2015 11:05:00,11/12/2015 11:10:00,27.5993541,0.035446046,-9.600885246,2.115383623,284.01,19.94402149,-155.8768665,15,35,20,55,1
HAW,201511122,11/12/2015,2,8,20151112208,11/12/2015 11:00:00,11/12/2015 11:05:00,27.51543279,0.077338964,-9.484852459,1.571608238,278.86,19.94502034,-155.8744117,10,17.5,12.5,30,1
HAW,201511122,11/12/2015,2,7,20151112207,11/12/2015 10:55:00,11/12/2015 11:00:00,27.36057541,0.085016563,-12.2647377,0.89454168,306.76,19.9468605,-155.8724717,22.5,12.5,25,37.5,1
HAW,201511122,11/12/2015,2,6,20151112206,11/12/2015 10:50:00,11/12/2015 10:55:00,27.46105902,0.02395895,-7.939852459,2.037110513,274.19,19.94906047,-155.8709932,22.5,15,25,40,1
HAW,201511122,11/12/2015,2,5,20151112205,11/12/2015 10:45:00,11/12/2015 10:50:00,27.51840984,0.010882061,-3.74304918,1.18751851,271.96,19.95066081,-155.8690296,35,30,20,50,1
HAW,201511122,11/12/2015,2,4,20151112204,11/12/2015 10:40:00,11/12/2015 10:45:00,27.55071639,0.01723387,-7.378081967,0.89686575,259.64,19.95166096,-155.8667976,45,40,17.5,57.5,1
HAW,201511122,11/12/2015,2,3,20151112203,11/12/2015 10:35:00,11/12/2015 10:40:00,27.50060164,0.021933988,-6.585295082,1.400339354,269.93,19.95293604,-155.8647374,40,32.5,12.5,45,1
HAW,201511122,11/12/2015,2,2,20151112202,11/12/2015 10:30:00,11/12/2015 10:35:00,27.52861967,0.03084112,-8.924754098,2.045288201,244.85,19.95472304,-155.8631856,20,20,15,35,1
HAW,201511122,11/12/2015,2,1,20151112201,11/12/2015 10:25:00,11/12/2015 10:30:00,27.61160164,0.015690871,-10.11391803,1.918007131,295.58,19.95677019,-155.8620023,10,15,22.5,37.5,1
HAW,201511121,11/12/2015,1,10,20151112110,11/12/2015 9:41:00,11/12/2015 9:46:00,27.20745833,0.234361238,-7.701933333,0.745605612,254.29,19.98016085,-155.8348392,17.5,22.5,32.5,55,1
HAW,201511121,11/12/2015,1,9,20151112109,11/12/2015 9:36:00,11/12/2015 9:41:00,27.02650656,0.10123624,-8.481377049,0.740267589,244.96,19.98181564,-155.833697,15,20,35,55,1
HAW,201511121,11/12/2015,1,8,20151112108,11/12/2015 9:31:00,11/12/2015 9:36:00,27.13749836,0.041162762,-6.962098361,1.529315305,255.78,19.98371739,-155.8324161,12.5,20,40,60,1
HAW,201511121,11/12/2015,1,7,20151112107,11/12/2015 9:26:00,11/12/2015 9:31:00,27.16862623,0.171158248,-8.26757377,1.023743876,234.18,19.98570024,-155.833099,7.5,20,37.5,57.5,1
HAW,201511121,11/12/2015,1,6,20151112106,11/12/2015 9:21:00,11/12/2015 9:26:00,26.9807459,0.024011012,-7.773819672,0.798505294,242.34,19.98756679,-155.8324528,10,20,30,50,1
HAW,201511121,11/12/2015,1,5,20151112105,11/12/2015 9:16:00,11/12/2015 9:21:00,27.00310328,0.018843027,-5.957196721,0.500752051,260.05,19.98902551,-155.831079,22.5,20,40,60,1
HAW,201511121,11/12/2015,1,4,20151112104,11/12/2015 9:11:00,11/12/2015 9:16:00,27.06281967,0.033290809,-7.304,0.877997741,261.25,19.99070497,-155.8294424,4,25,25,50,1
HAW,201511121,11/12/2015,1,3,20151112103,11/12/2015 9:06:00,11/12/2015 9:11:00,27.10823115,0.015854829,-8.433409836,0.888474902,237.38,19.99293391,-155.829342,10,20,30,50,1
HAW,201511121,11/12/2015,1,2,20151112102,11/12/2015 9:01:00,11/12/2015 9:06:00,27.12325902,0.012882309,-8.69657377,0.819702154,237.14,19.99488087,-155.8297931,12.5,20,35,55,1
HAW,201511121,11/12/2015,1,1,20151112101,11/12/2015 8:56:00,11/12/2015 9:01:00,27.1049082,0.008792942,-8.53252459,0.393885712,252.14,19.99700278,-155.8303229,22.5,20,32.5,52.5,1
HAW,201511115,11/11/2015,5,10,20151111510,11/11/2015 14:54:00,11/11/2015 14:59:00,27.77629,0.011054994,-7.39265,0.90470704,218.18,20.05752677,-155.8460193,30,20,37.5,57.5,1
HAW,201511115,11/11/2015,5,9,20151111509,11/11/2015 14:49:00,11/11/2015 14:54:00,27.80014,0.015180362,-6.8915,1.217144917,236.71,20.05888954,-155.8476224,32.5,27.5,45,72.5,1
HAW,201511115,11/11/2015,5,8,20151111508,11/11/2015 14:44:00,11/11/2015 14:49:00,27.79398636,0.027608452,-6.826454545,1.505986893,189.41,20.06031239,-155.8489719,32.5,25,45,70,1
HAW,201511115,11/11/2015,5,7,20151111507,11/11/2015 14:39:00,11/11/2015 14:44:00,27.75405,0.007272911,-9.289909091,2.133398844,201.74,20.06125439,-155.8504326,27.5,25,37.5,62.5,1
HAW,201511115,11/11/2015,5,6,20151111506,11/11/2015 14:34:00,11/11/2015 14:39:00,27.76838696,0.015898627,-7.072695652,2.309474181,207.69,20.06240877,-155.8518307,25,15,45,60,1
HAW,201511115,11/11/2015,5,5,20151111505,11/11/2015 14:29:00,11/11/2015 14:34:00,27.76505909,0.004701417,-9.238136364,1.391680812,195.67,20.06378652,-155.852935,25,17.5,37.5,55,1
HAW,201511115,11/11/2015,5,4,20151111504,11/11/2015 14:24:00,11/11/2015 14:29:00,27.76830952,0.009493251,-8.602857143,1.448555119,217.95,20.06517358,-155.8540553,25,20,40,60,1
HAW,201511115,11/11/2015,5,3,20151111503,11/11/2015 14:19:00,11/11/2015 14:24:00,27.773552,0.004435233,-7.4438,0.503873714,226.91,20.06681232,-155.8551998,27.5,20,37.5,57.5,1
HAW,201511115,11/11/2015,5,2,20151111502,11/11/2015 14:14:00,11/11/2015 14:19:00,27.757368,0.00937105,-7.26864,0.989509328,207.65,20.06831287,-155.8563365,25,32.5,32.5,65,1
HAW,201511115,11/11/2015,5,1,20151111501,11/11/2015 14:09:00,11/11/2015 14:14:00,27.76735238,0.007645517,-7.704285714,1.373732772,196.11,20.06994098,-155.8568733,27.5,35,20,55,1
HAW,201511114,11/11/2015,4,10,20151111410,11/11/2015 13:27:00,11/11/2015 13:32:00,27.74684762,0.011579523,-7.857285714,1.912771466,220.84,20.07199025,-155.8589616,37.5,40,32.5,72.5,1
HAW,201511114,11/11/2015,4,9,20151111409,11/11/2015 13:22:00,11/11/2015 13:27:00,27.76628636,0.029238553,-5.974409091,1.417254088,222.72,20.0734044,-155.8602932,32.5,30,32.5,62.5,1
HAW,201511114,11/11/2015,4,8,20151111408,11/11/2015 13:17:00,11/11/2015 13:22:00,27.75415,0.012338659,-7.8125,1.058717095,250.27,20.0740523,-155.8622059,27.5,30,32.5,62.5,1
HAW,201511114,11/11/2015,4,7,20151111407,11/11/2015 13:12:00,11/11/2015 13:17:00,27.75144444,0.00865124,-6.277740741,1.437019436,292.5,20.0752913,-155.8642419,37.5,32.5,27.5,60,1
HAW,201511114,11/11/2015,4,6,20151111406,11/11/2015 13:07:00,11/11/2015 13:12:00,27.73603462,0.006832892,-7.425269231,1.753545936,260.5,20.07741916,-155.8654489,52.5,35,25,60,1
HAW,201511114,11/11/2015,4,5,20151111405,11/11/2015 13:02:00,11/11/2015 13:07:00,27.73520435,0.009922196,-9.556913043,1.681247723,236.13,20.07951759,-155.8662509,45,37.5,22.5,60,1
HAW,201511114,11/11/2015,4,4,20151111404,11/11/2015 12:57:00,11/11/2015 13:02:00,27.74824839,0.007548291,-7.955258065,1.332376363,306.88,20.08135114,-155.8677806,37.5,30,20,50,1
HAW,201511114,11/11/2015,4,3,20151111403,11/11/2015 12:52:00,11/11/2015 12:57:00,27.73981429,0.015815583,-6.702642857,1.322726627,276.5,20.08356882,-155.8691988,37.5,32.5,15,47.5,1
HAW,201511114,11/11/2015,4,2,20151111402,11/11/2015 12:47:00,11/11/2015 12:52:00,27.72384,0.008061621,-8.560266667,1.983144455,270.97,20.08514774,-155.8709724,30,42.5,15,57.5,1
HAW,201511114,11/11/2015,4,1,20151111401,11/11/2015 12:42:00,11/11/2015 12:47:00,27.71656897,0.004991034,-8.337758621,1.573815278,266.75,20.0872948,-155.8718416,45,45,15,60,1
HAW,201511113,11/11/2015,3,10,20151111310,11/11/2015 12:13:00,11/11/2015 12:18:00,27.71631429,0.006619185,-7.658,0.517618631,191.13,20.09323859,-155.8755712,27.5,42.5,12.5,55,1
HAW,201511113,11/11/2015,3,9,20151111309,11/11/2015 12:08:00,11/11/2015 12:13:00,27.7129,0.00689051,-7.631,0.849589057,191.03,20.09452217,-155.8764165,22.5,42.5,10,52.5,1
HAW,201511113,11/11/2015,3,8,20151111308,11/11/2015 12:03:00,11/11/2015 12:08:00,27.702988,0.007018565,-7.89028,0.794205289,213.33,20.095834,-155.8775168,22.5,40,7.5,47.5,1
HAW,201511113,11/11/2015,3,7,20151111307,11/11/2015 11:58:00,11/11/2015 12:03:00,27.698788,0.013534469,-7.47424,1.555398991,241.72,20.09673486,-155.8786547,20,37.5,7.5,45,1
HAW,201511113,11/11/2015,3,6,20151111306,11/11/2015 11:53:00,11/11/2015 11:58:00,27.6854875,0.005712217,-7.053125,1.166292713,212.09,20.09862833,-155.8788249,32.5,37.5,7.5,45,1
HAW,201511113,11/11/2015,3,5,20151111305,11/11/2015 11:48:00,11/11/2015 11:53:00,27.68319167,0.01518741,-7.983166667,0.837004364,251.83,20.1004441,-155.8796164,30,40,4,44,1
HAW,201511113,11/11/2015,3,4,20151111304,11/11/2015 11:43:00,11/11/2015 11:48:00,27.65895909,0.022089686,-8.3585,0.88700957,202.76,20.10210719,-155.8803788,40,42.5,4,46.5,1
HAW,201511113,11/11/2015,3,3,20151111303,11/11/2015 11:38:00,11/11/2015 11:43:00,27.68610417,0.007159404,-7.702708333,1.306995265,220.9,20.10310712,-155.881866,35,40,7.5,47.5,1
HAW,201511113,11/11/2015,3,2,20151111302,11/11/2015 11:33:00,11/11/2015 11:38:00,27.69849091,0.005268854,-6.958727273,1.032339144,216.14,20.1043288,-155.8829609,30,45,5,50,1
HAW,201511113,11/11/2015,3,1,20151111301,11/11/2015 11:28:00,11/11/2015 11:33:00,27.65817586,0.034343957,-9.535793103,1.559072611,207.61,20.10587233,-155.8840706,25,45,6.5,51.5,1
HAW,201511112,11/11/2015,2,10,20151111210,11/11/2015 10:53:00,11/11/2015 10:58:00,27.59724286,0.028889421,-5.233190476,0.853361232,189.66,20.110393,-155.8837773,35,27.5,15,42.5,1
HAW,201511112,11/11/2015,2,9,20151111209,11/11/2015 10:48:00,11/11/2015 10:53:00,27.58617143,0.061505371,-7.420428571,1.01687643,197.04,20.11179616,-155.8847522,37.5,27.5,12.5,40,1
HAW,201511112,11/11/2015,2,8,20151111208,11/11/2015 10:43:00,11/11/2015 10:48:00,27.60283043,0.039092081,-7.456130435,0.699960577,176.54,20.11315018,-155.8856909,37.5,45,20,65,1
HAW,201511112,11/11/2015,2,7,20151111207,11/11/2015 10:38:00,11/11/2015 10:43:00,27.55680455,0.042657254,-7.695454545,1.454717365,180.78,20.11466536,-155.8853113,45,25,25,50,1
HAW,201511112,11/11/2015,2,6,20151111206,11/11/2015 10:33:00,11/11/2015 10:38:00,27.61518182,0.005063832,-6.590090909,1.301384679,222.15,20.11627212,-155.8860135,55,40,25,65,1
HAW,201511112,11/11/2015,2,5,20151111205,11/11/2015 10:28:00,11/11/2015 10:33:00,27.62671818,0.004545491,-5.566045455,1.200742743,175.88,20.11725629,-155.8875072,30,35,17.5,52.5,1
HAW,201511112,11/11/2015,2,4,20151111204,11/11/2015 10:23:00,11/11/2015 10:28:00,27.5868,0.055359646,-5.578869565,1.206798723,149.18,20.11835337,-155.8883399,27.5,32.5,10,42.5,1
HAW,201511112,11/11/2015,2,3,20151111203,11/11/2015 10:18:00,11/11/2015 10:23:00,27.47416538,0.032622019,-7.426423077,0.610954434,197.55,20.1196259,-155.8876288,45,35,15,50,1
HAW,201511112,11/11/2015,2,2,20151111202,11/11/2015 10:13:00,11/11/2015 10:18:00,27.55969167,0.015717981,-6.975625,1.06878969,290.63,20.12107909,-155.8889393,42.5,27.5,20,47.5,1
HAW,201511112,11/11/2015,2,1,20151111201,11/11/2015 10:08:00,11/11/2015 10:13:00,27.58603478,0.005747635,-6.209608696,1.115029254,238.92,20.12280433,-155.8906466,27.5,25,12.5,37.5,1
MAI,201511101,11/10/2015,1,10,20151110110,11/10/2015 9:30:00,11/10/2015 9:35:00,26.956225,0.085815295,-7.590583333,1.557098523,185.21,20.59494953,-156.4309857,12.5,1,1,2,1
MAI,201511101,11/10/2015,1,9,20151110109,11/10/2015 9:25:00,11/10/2015 9:30:00,27.07561967,0.072631116,-5.67242623,1.44688004,169.53,20.59587268,-156.4321385,12.5,1,1,2,1
MAI,201511101,11/10/2015,1,8,20151110108,11/10/2015 9:20:00,11/10/2015 9:25:00,27.13022787,0.057002304,-7.293688525,1.561906564,171.49,20.59613099,-156.4334593,15,3,3,6,1
MAI,201511101,11/10/2015,1,7,20151110107,11/10/2015 9:15:00,11/10/2015 9:20:00,27.11589344,0.082561826,-6.602081967,1.328738651,197.83,20.59749447,-156.4347126,12.5,3,2.5,5.5,1
MAI,201511101,11/10/2015,1,6,20151110106,11/10/2015 9:10:00,11/10/2015 9:15:00,27.11255574,0.064614442,-8.230098361,1.322959198,168.71,20.59789824,-156.4360171,15,10,2,12,1
